ITEM,PACE,WHOLEFOODS,CVS
Smartwater 1L,4.09,2.79,3.29
Smartwater 1.5L,4.59,3.29,3.79
Smartwater 750ml,3.59,-1,-1
Smartwater 20oz,2.79,2.49,2.39
Smartwater 23.7oz,3.59,2.49,2.89
Dasani 20oz,1.99,-1,2.39
Dasani 1l,2.69,-1,2.59
AHA 12oz,1.69,-1,-1
AHA 16oz,-1,-1,2.89
Soda 20oz,2.49,-1,2.59
Sprite 20oz,2.49,-1,2.59
Coca Cola 20oz,2.49,-1,2.59
Fanta 20oz,2.49,-1,2.59
Dr. Pepper 2l,-1,-1,3.39
Dr. Pepper 20oz,2.49,-1,-1
Monster Energy,3.99,-1,2.59
Reign Energy,3.99,-1,2.59
Croissant,3.15,7.49,-1
Chocolate Croissant,3.65,7.49,-1
Cheese Danish,2.99,7.49,-1
Muffins,2.39,7.49,-1
Doritos Nacho Cheese 3.12oz,-1,-1,2.49
Doritos Nacho Cheese 2.75oz,1.69,-1,-1
Doritos Nacho Cheese 9.25oz,-1,-1,3.99
Doritos Cool Ranch 9.25oz,-1,-1,3.99
Cheetos 2.75oz,1.69,-1,-1
Cheetos 8.5oz,-1,-1,5.69
Pizza pie,11.99,12.29,6.29
Waffles,5.99,4.99,-1
Gold peak tea,2.89,-1,2.19
Honest tea,3.49,-1,2.19
Peace tea,2.99,-1,-1
Fuze tea,1.99,-1,-1
Fairlife YUP,3.29,-1,-1
Fairlife Core Power,4.99,-1,4.19
Vitaminwater,3.39,2.19,2.39
Minute Maid,2.59,-1,2.59
Simply Juice,2.89,2.29,2.29
Powerade,2.39,-1,1.99
Trolli,2.99,-1,3.19
CHEX mix 8.75oz,4.09,-1,3.89
CHEX mix 3.75oz,-1,-1,2.49
Wrap,7.29,6.99,-1
Salad,8.09,13.99,-1
Sandwich,7.59,7.49,-1
Side Salad,4.99,13.99,-1
PB&J,3.99,-1,-1
Cheese & Fruit,5.59,-1,-1
Cruidité,3.59,-1,-1
Hummus & Pita,4.99,4.29,-1
Fruit Cups,5.29,-1,4.29
Dessert Cups,3.99,-1,-1
Snack Cups,4.99,-1,3.79
Yoghurt Parfaits,3.49,-1,-1
Cereal Cups,3.08,-1,1.79
Kettle Chips 7.5.oz,-1,4.29,3.69
Kettle Chips 2oz,4.15,-1,1.59
Popcorners,4.15,4.69,2.69
Snyders Pretzel,4.99,5.29,1.59
Stacy's Chips,1.79,4.19,4.29
Cheez-It/Cheez It 4.5oz,-1,-1,2.69
Cheez-It/Cheez It 3oz,2.59,-1,1.99
Cheez-It/Cheez It 7oz,-1,-1,4.19
Nabisco Ritz Crackers,3.49,-1,2.99
Kraft Velveeta,8.89,-1,4.49
Pringles 5.5oz,-1,-1,2.19
Pringles 2.3oz,2.29,-1,1.89
Cup Noodles,1.99,-1,1.69
Hal's Chips,2.29,-1,-1
Regular Chips,1.69,-1,-1
Blistex,3.99,-1,3.49
Chapstick,3.29,-1,1.99
Tums,9.99,-1,3.39
Advil 4pk,3.99,-1,-1
Advil 24ct,9.99,-1,6.59
Aleve,10.99,-1,6.59
Allergy 24hr,4.29,-1,18.49
Sinus Multi,5.19,-1,-1
Mucinex,6.99,-1,13.49
Dayquil,3.99,-1,10.79
Old Spice,3.59,-1,4.99
Trojan Condoms,4.99,-1,7.59
Dove Shampoo,3.99,-1,4.99
Irish Spring,6.39,-1,6.99
Suave Shampoo,7.29,-1,4.49
Alcohol Wipes,3.99,-1,6.99
Peroxide,3.99,-1,1.89
Always 10ct,6.99,-1,-1
Always pads,9.99,-1,8.49
Qtips,3.89,-1,3.99
Tampax,10.39,-1,6.79
Edge Shave Cream,4.79,-1,2.59
Tide,9.99,-1,7.29
Clorox,4.25,-1,7.29
Downy,3.99,-1,5.49
Bounce,4.59,-1,5.49
Toilet Paper,1.50,-1,3.99
Paper Towel,3.15,-1,4.69
Tide Pen,6.99,-1,4.29
Notebook,3.99,-1,1.99
Pens,4.79,-1,4.69
Mechanical Pencils,2.99,-1,4.99
